ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,adu+sen-median,adu+sen-p1,adu+sen-p2,time
5.1607604192054595,4.688977272727273,5.33830825006093,10.608972947467757,10.050966105693616,11.065686536646744,13.842720986984816,12.672833785249455,14.303175230477224,9.378915483535271,8.442682858841893,9.729398461309744,11.511102978566035,10.529536226636054,11.891415704886203,12.652058291776767,11.542199401982794,13.066873025649175,2020-11-03
5.22924689251767,4.790786924201804,5.41201102851572,10.742245989304813,10.265262661214217,11.251848851840201,13.993975054229935,12.873166079175707,14.445225664316702,9.461030996803688,8.57842971827845,9.788856388909537,11.638732144783273,10.705390349322775,12.020161024392499,12.77905946396996,11.725269306419248,13.191314644467845,2020-11-04
5.2980136485498415,4.887534121374605,5.475948086765781,10.873702422145328,10.47323018244731,11.438899418055994,14.115178958785249,13.066943804229934,14.59385120661605,9.546171857578235,8.707815357169403,9.849646361406377,11.745174661386505,10.875791253832997,12.142054101114073,12.901009278207141,11.90183632010808,13.33204652017563,2020-11-05
5.354533268340239,4.982202047282477,5.539516512308067,11.005158854985845,10.63620438817238,11.626851604278077,14.235203362255966,13.253048603579176,14.718455802603037,9.633282539210585,8.832229614212444,9.934839812681187,11.829485184214986,11.040447825015024,12.252780097693266,13.010667951443388,12.071452476506469,13.445484274730296,2020-11-06
5.406044357786985,5.073840787228857,5.5870277845478915,11.131220509594211,10.732608917898707,11.813466892104435,14.323377169197396,13.432278470715834,14.84282592190889,9.712577120344905,8.950524604177508,10.031347097301717,11.927832565449867,11.199412530625453,12.35127740881705,13.094219498142373,12.234395674805793,13.554479814435854,2020-11-07
5.46146721910797,5.163496526931514,5.656620460638557,11.262503932054106,10.81684845863479,11.999323686693929,14.438192787418656,13.605995864967463,14.936047722342733,9.785832156396342,9.064223035754107,10.110016167397607,12.023357011880364,11.354298118557098,12.427652857605128,13.184709832515447,12.392071205769575,13.660958863965984,2020-11-08
5.520954179868389,5.2486747501827935,5.730099622227638,11.399669707455175,10.90157636049072,12.184617804340988,14.541160520607376,13.773226681127982,15.02788204989154,9.847595331896231,9.173009737604994,10.181849587452612,12.118234278934311,11.503511487433935,12.544353514029924,13.287281703852344,12.543681083980688,13.733956301035105,2020-11-09
5.564763587618815,5.329830611747502,5.802122227638313,11.54257628184964,10.984913494809689,12.366317238125196,14.642433568329718,13.933629745119308,15.154154758676789,9.902679699695236,9.276468259867686,10.251367167174605,12.210266268086352,11.647035571752161,12.661170007858606,13.377001172193193,12.688864015655735,13.828403631812131,2020-11-10
5.615884718498659,5.395578235437485,5.871294784304167,11.694675998741742,11.049778232148473,12.543831393519975,14.747048535791757,14.088954921366595,15.280373169739697,9.968059168958597,9.376840667509105,10.315722515424069,12.299491501918425,11.786545179284097,12.779619281322711,13.465084536983689,12.82950142053921,13.938197305942424,2020-11-11
5.660608091640263,5.454771203997075,5.93799658786254,11.838856558666247,11.10754679144385,12.718037118590752,14.837654555314534,14.238932958242948,15.406752643709327,10.022110309968037,9.472455771946779,10.361896788820337,12.368949258055071,11.921017805137371,12.893532135537853,13.551835773746847,12.96494933741283,14.050750700335763,2020-11-12
